id,brand,model,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month,period
adidas-nmd-r1-trail-trace-cargo,adidas,nmd,adidas nmd r1 trace cargo,New,7000.0,9,14300.0,13700.0,-2700.0,-28.0,,13611.0,2016-12-03,21700.0,6900.0,4200.0,9900.0,41.0,28.0,-49.2,13300.0,1415.0
adidas-oreardon-palace-black,adidas,o'reardon,adidas o'reardon black,New,20100.0,11.5,15500.0,12600.0,6900.0,52.0,,12564.0,2017-09-29,20100.0,13200.0,17200.0,22900.0,14.3,3.0,58.3,17100.0,1115.0
adidas-ultra-boost-19-universal-works-white,adidas,ultra,adidas ultra boost 19 universal works white,New,16200.0,10.0,12700.0,18400.0,2200.0,15.0,Winter White/Bone White/Glacier Grey,20940.0,2019-11-23,26400.0,6900.0,13400.0,19000.0,17.1,109.0,-23.3,15300.0,330.0
adidas-ultra-boost-2019-core-black-grey-five,adidas,ultra,adidas ultra boost 2019 core black grey five,New,12700.0,11.5,9500.0,10500.0,6400.0,100.0,CORE BLACK/CORE BLACK/CLOUD WHITE,18846.0,2019-01-01,15900.0,5800.0,10700.0,14700.0,15.9,1537.0,-33.3,9700.0,656.0
adidas-deerupt-dragon-ball-z-son-gohan,adidas,deerupt,adidas deerupt dragon ball z son gohan,New,14900.0,8,12800.0,26400.0,-100.0,-1.0,Shock Purple/Red Night/Shock Yellow,10470.0,2018-11-24,52700.0,8500.0,11900.0,17900.0,20.3,457.0,40.7,17500.0,694.0
adidas-tubular-shadow-knit-clear-brown,adidas,tubular,adidas tubular shadow knit clear brown,New,11700.0,9.5,7400.0,8900.0,4400.0,59.0,,10470.0,2016-12-08,20000.0,5300.0,8100.0,15400.0,31.1,37.0,11.0,8900.0,1410.0
adidas-y-3-kaiwa-knit-red,adidas,y-3,adidas y-3 kaiwa knit red,New,21000.0,10,21700.0,16700.0,2500.0,13.0,Red/Core Black/Salty Green,29316.0,2019-01-01,37300.0,11300.0,14100.0,28000.0,33.4,12.0,-28.9,25600.0,656.0
adidas-rivalry-hi-we-all-we-got,adidas,rivalry,adidas rivalry hi we all we got,New,9500.0,10.5,8000.0,10500.0,-1000.0,-10.0,Legacy Green/Core Black/Lush Red,11517.0,2020-02-15,15900.0,5300.0,8600.0,10500.0,10.5,40.0,-18.2,10400.0,246.0
adidas-predator-accelerator-trainers-solar-yellow,adidas,predator,adidas predator accelerator trainers solar yellow,New,18700.0,9,15900.0,,9200.0,96.0,Solar Yellow/Core Black/Solar Red,26175.0,2018-07-05,18700.0,6400.0,14800.0,22600.0,21.0,15.0,-29.2,12600.0,836.0
adidas-nemeziz-tango-17pt1-kith-rays,adidas,nemeziz,adidas nemeziz tango 17.1 kith rays,New,8000.0,10.5,25900.0,7900.0,0.0,0.0,,15705.0,2017-11-03,8000.0,8000.0,7200.0,8800.0,,1.0,-49.8,8000.0,1080.0
